IDs,"metNames",chebi,kegg,mean,max,min,concs
YMDB02005,"PC(18:3(9Z,12Z,15Z)/18:2(9Z,12Z))",,C00157,0.038,0.0399,0.0361,0.038 +/- 0.0019 uM
YMDB02006,"PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))",CHEBI:89441,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02007,"PC(18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))",CHEBI:86161,C00157,0.021,0.02205,0.01995,0.021 +/- 0.00105 uM
YMDB02008,"PC(18:3(9Z,12Z,15Z)/20:0)",,C00157,0.185,0.19425,0.17575,0.185 +/- 0.00925 uM
YMDB02009,"PC(18:3(9Z,12Z,15Z)/20:1(11Z))",CHEBI:89444,C00157,2,2,2,2 +/- 0 uM
YMDB02010,"PC(18:3(9Z,12Z,15Z)/20:2(11Z,14Z))",CHEBI:89453,C00157,0.772,0.8106,0.7334,0.772 +/- 0.0386 uM
YMDB02011,"PC(18:3(9Z,12Z,15Z)/20:3(5Z,8Z,11Z))",CHEBI:89452,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02012,"PC(18:3(9Z,12Z,15Z)/20:3(8Z,11Z,14Z))",,C00157,0.557,0.58485,0.52915,0.557 +/- 0.02785 uM
YMDB02013,"PC(18:3(9Z,12Z,15Z)/22:0)",CHEBI:89451,C00157,0.007,0.00735,0.00665,0.007 +/- 0.00035 uM
YMDB02014,"PC(18:3(9Z,12Z,15Z)/22:1(13Z))",,C00157,0.093,0.09765,0.08835,0.093 +/- 0.00465 uM
YMDB02015,"PC(18:3(9Z,12Z,15Z)/22:2(13Z,16Z))",,C00157,0.098,0.1029,0.0931,0.098 +/- 0.0049 uM
YMDB02016,"PC(18:3(9Z,12Z,15Z)/24:1(15Z))",,C00157,0.006,0.0063,0.0057,0.006 +/- 0.0003 uM
YMDB02017,"PC(18:3(9Z,12Z,15Z)/P-16:0)",CHEBI:89414,C00157,0.109,0.11445,0.10355,0.109 +/- 0.00545 uM
YMDB02018,"PC(18:3(9Z,12Z,15Z)/P-18:0)",CHEBI:89415,C00157,1,1,1,1 +/- 0 uM
YMDB02019,"PC(18:3(9Z,12Z,15Z)/P-18:1(11Z))",CHEBI:89411,C00157,1,1,1,1 +/- 0 uM
